id,autor,obra,ano_publicacao,fenomeno_linguistico,texto_original,texto_simplificado,nivel_confianca_equivalencia,notas
vieira_001,Padre Antônio Vieira,Sermão da Sexagésima,1655,Antítese,"Mas ainda a [desgraça] do semeador do nosso Evangelho não foi a maior. A maior é a que se tem experimentado na seara aonde eu fui, e para onde venho.","No entanto, o sofrimento dos pregadores do Evangelho em geral não foi o pior. O pior sofrimento é aquele que os missionários vivenciaram na região do Maranhão, de onde eu voltei recentemente e para onde pretendo ir novamente.",alta,"O texto original foi levemente modificado na fonte didática secundária com a inserção da palavra ""[desgraça]"" entre colchetes para fins de coesão textual. ATENÇÃO: ano de publicação corrigido de 1679 para 1655; data precisa de confirmação bibliográfica posterior."
assis_001,Machado de Assis,Dom Casmurro,1899,Eufemismo e Ironia,Os amigos que me restam são de data recente; todos os antigos foram estudar a geologia dos campos santos.,Os meus amigos atuais são pessoas que conheci há pouco tempo; todos os meus amigos antigos morreram e foram enterrados no cemitério.,alta,"O eufemismo sarcástico ""estudar a geologia dos campos santos"" foi traduzido diretamente como ""morreram e foram enterrados no cemitério""."
anjos_001,Augusto dos Anjos,O Lamento das Coisas,1920,Metáfora Cósmica / Niilismo Físico,"Triste a escutar, pancada por pancada, / A sucessividade dos segundos, / Ouço, em sons subterrâneos, do Orbe oriundos, / O choro da Energia abandonada!","Eu fico triste enquanto escuto o tempo passar segundo a segundo e ouço, como barulhos que vêm de dentro da Terra, o som lamentável de uma força física que não está sendo utilizada.",média,"A personificação da ""Energia"" que chora e o substantivo erudito ""Orbe"" foram convertidos para conceitos físicos e diretos correspondentes (""força física"" e ""Terra"")."
anjos_002,Augusto dos Anjos,O Lamento das Coisas,1920,Niilismo Fís / Estática do Nada,"É a dor da Força desaproveitada / – O cantochão dos dínamos profundos, / Que, podendo mover milhões de mundos, / Jazem ainda na estática do Nada!","Refere-se ao sofrimento de uma capacidade física que é desperdiçada, ou seja, o som repetitivo de geradores de energia profundos que poderiam mover planetas inteiros, mas continuam parados sem realizar nenhuma ação física.",média,"O termo litúrgico medieval ""cantochão"" e a palavra técnica ""dínamos"" foram traduzidos para ""som repetitivo"" e ""geradores de energia"", enquanto ""estática do Nada"" foi resolvida como ""parados sem realizar nenhuma ação""."
anjos_003,Augusto dos Anjos,Ao meu primeiro filho nascido morto...,1912,Niilismo Ontológico / Antinomia e Oximoro,"Agregado infeliz de sangue e cal, / Fruto rubro de carne agonizante, / Filho da grande força fecundante / De minha brônzea trama neuronial,","Você é uma mistura infeliz de matéria biológica morta em decomposição, gerada a partir da forte capacidade de reprodução do meu sistema nervoso e cerebral.",média,"Traduz a imagem expressionista ""sangue e cal"" em seu valor semântico factual de morte/decomposição e ""brônzea trama neuronial"" como ""sistema nervoso e cerebral""."
anjos_004,Augusto dos Anjos,Ao meu primeiro filho nascido morto...,1912,Niilismo Ontológico / Não Ser,"Ah! Possas tu dormir, feto esquecido, / Panteisticamente dissolvido / Na noumenalidade do NÃO SER!","Desejo que você continue morto e esquecido, totalmente desintegrado na condição eterna de não existir mais na realidade.",alta,"O eufemismo metafórico ""dormir"" foi traduzido como ""continue morto"", ""panteisticamente dissolvido"" como ""totalmente desintegrado"" e ""noumenalidade do NÃO SER"" como ""condição eterna de não existir na realidade""."
andrade_001,Mário de Andrade,Ode ao Burguês,1922,Neologismo e Sarcasmo,Eu insulto o burguês! O burguês-níquel (…) O homem-curva! O homem-nádegas! Eu insulto as aristocracias cautelosas.,"Eu xingo a classe rica que só se importa com dinheiro, os homens que são fisicamente gordos e as pessoas influentes que evitam correr riscos.",média,A fonte original apresenta elipse de supressão representada por (...). Os neologismos e epítetos corporais de caráter sarcástico foram traduzidos por descrições objetivas das características físicas e sociais criticadas.
anjos_005,Augusto dos Anjos,A Frederico Nietzsche,1963,Niilismo Filosófico / Desconstrução Metafísica,"Para que nesta vida o espírito esfalfaste / Em vãs meditações, homem meditabundo?! – / Escalpelaste todo o cadáver do mundo / E, por fim, nada achaste... e, por fim, nada achaste!...","Por qual motivo você cansou a sua mente nesta vida fazendo reflexões inúteis? Você analisou detalhadamente toda a realidade do mundo e, no fim, descobriu que não existe nenhum sentido ou verdade absoluta.",alta,"A metáfora anatômica/médica 'escalpelaste todo o cadáver do mundo' foi simplificada para a descrição denotativa correspondente: 'analisou detalhadamente toda a realidade do mundo'. DATAÇÃO VERIFICADA (fonte: dissertação de mestrado UNESP sobre niilismo em Augusto dos Anjos, autor LeoVivaldo): o soneto foi composto por volta de 1900 (poeta com aproximadamente 16 anos), circulou originalmente no jornal Correio da Paraíba sem data exata recuperável, não fez parte da primeira edição do livro 'Eu' (1912, organizada pelo próprio autor), e só apareceu pela primeira vez em formato de livro na coletânea póstuma 'Poemas Esquecidos', incluída na 29ª edição de 'Eu' pela Livraria São José em 1963 (organização de De Castro e Silva). O ano_publicacao=1963 registrado neste dataset reflete essa primeira publicação em livro verificável, não a data de composição (~1900, aproximada) nem a edição de referência (Bertrand Brasil, 2001) usada pela dissertação apenas para transcrever o texto do poema."
vieira_002,Padre Antônio Vieira,Sermão da Sexagésima,1655,Paradoxo,"O semear não é assim... É uma arte sem arte, caia onde cair","A pregação do Evangelho não deve seguir regras rígidas e artificiais. Ela deve ser feita de forma simples e natural, espalhando a palavra de Deus para todas as pessoas, sem distinção.",alta,"O paradoxo jesuítico ""arte sem arte"" refere-se à simplicidade e naturalidade estilística da pregação em oposição ao estilo rebuscado (cultismo barroco). ATENÇÃO: ano de publicação corrigido de 1679 para 1655; data precisa de confirmação bibliográfica posterior."
andrade_002,Mário de Andrade,Macunaíma,1928,Paródia,"No fundo do mato-virgem nasceu Macunaíma, herói da nossa gente.","Macunaíma, que representa o povo brasileiro, nasceu no interior da floresta intocada.",alta,Citação literal exata da frase de abertura do romance. A ironia nacionalista e o tom paródico do romantismo indigenista foram simplificados para uma afirmação factual.
